,index,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,occupancy_rate,annual_rental_income,investment_score
5529,13431,670885606119602600,Superior room Twin Bed - ( Room only ),97269224,Ken,Bang Rak,13.72057,100.51789,Private room,4300.0,1,0,0.0,5,363,0,0.005479452054794498,8599.999999999964,0.4183083796413036
5530,13438,664137918593840826,"Kitzio House Huaikwang 
Standard Double",290303592,Arachaporn,Huai Khwang,13.77633,100.57457,Private room,950.0,1,1,0.26,7,354,1,0.03013698630136985,10449.999999999996,0.4994247488471142
5531,13443,664322124056887956,lyf - a new way to belong,467774272,Watana,Khlong Toei,13.73841,100.55515,Private room,1884.0,1,0,0.0,1,213,0,0.4164383561643835,286367.99999999994,0.46137131030528616
5532,13446,671392569095388473,2-Bedroom Residence with Balcony in Silom 130 sqm.,340150263,Bandara,Bang Rak,13.7258719,100.5382999,Private room,9357.0,1,1,0.37,18,358,1,0.019178082191780854,65499.00000000012,0.4183083796413036
5533,13450,672018732854579264,Whole Property @ Priya Boutique Hotel,463981357,Chaiwat,Phra Nakhon,13.76053,100.50181,Private room,12000.0,1,0,0.0,3,359,0,0.016438356164383605,72000.00000000019,0.5603982406521189
5534,13454,672393837744939070,Long Stay Luxury 1 BR+ 3 guest near MRT Phra Ram 9,121945929,Sofia,Din Daeng,13.755718185555798,100.5627402285364,Private room,1177.0,19,0,0.0,5,110,0,0.6986301369863014,300135.0,0.40780695945946244
5535,13460,673069955235789007,Condo in Khet Khlong Toei / Phrom Phong,469979737,Yani,Khlong Toei,13.724420630013007,100.56680377227056,Private room,1726.0,1,3,1.7,1,227,3,0.3780821917808219,238188.0,0.46137131030528616
5536,13462,673554641609482430,"2 Bedrooms Cozy Minimal, Ekamai Prime Area of BKK",470109594,Rsa,Khlong Toei,13.71828,100.58462,Private room,2850.0,29,0,0.0,1,312,0,0.14520547945205475,151049.99999999997,0.46137131030528616
5537,13465,679557583588477089,Renovated Loft style condo in BKK,471647495,Natpaphas,Huai Khwang,13.7722,100.5861,Private room,650.0,1,3,0.59,2,352,3,0.03561643835616435,8449.999999999993,0.4994247488471142
5538,13475,679896494329866047,Parvena Ratchada - 2,470720650,Bo,Din Daeng,13.76397,100.56323,Private room,950.0,1,0,0.0,2,364,0,0.002739726027397249,949.999999999996,0.40780695945946244
5539,13476,664713554385230591,Lovely 2 bedroom Units with Parking near BTS,104453274,Mel,Phra Khanong,13.69951,100.61673,Private room,1200.0,5,0,0.0,2,365,0,0.0,0.0,0.34198416395463455
5540,13479,664901428878027423,Marwin Villa,467710553,Fav,Ratchathewi,13.75235331049542,100.53702644603268,Private room,5600.0,1,0,0.0,1,365,0,0.0,0.0,0.513499304220907
5541,13480,664912825290747870,Private room near Khaosan and Grand palace,152484190,Lertrit,Phra Nakhon,13.763155066894903,100.49647230208303,Private room,580.0,1,9,1.68,5,351,9,0.0383561643835616,8119.99999999999,0.5603982406521189
5542,13481,664937243693219135,MRT Phram 9 Cozy Space,64826241,Jhae,Din Daeng,13.76543,100.56509,Private room,836.0,1,0,0.0,3,351,0,0.0383561643835616,11703.999999999985,0.40780695945946244
5543,13482,664938661274186231,Cozy 1 Bedroom Rental Unit Near MRT Phra Ram 9,64826241,Jhae,Din Daeng,13.76255,100.56616,Private room,699.0,1,4,0.76,3,365,4,0.0,0.0,0.40780695945946244
5544,13486,665645063829105608,JL Bangkok Hotel,468120130,Danai,Bang Kapi,13.75355,100.61295,Private room,1000.0,1,0,0.0,1,361,0,0.010958904109588996,3999.9999999999836,0.2709741002626685
5545,13487,665689054448979757,"One Bedroom Suite in Bangkok, Silom area",340150263,Bandara,Bang Rak,13.72498,100.53754,Private room,2854.0,1,12,2.31,18,358,12,0.019178082191780854,19978.000000000033,0.4183083796413036
5546,13488,665689136700493205,2-Bedroom Residence with balcony and bathtub,340150263,Bandara,Bang Rak,13.725739222996966,100.53823603923948,Private room,8929.0,1,4,0.84,18,332,4,0.09041095890410955,294656.9999999999,0.4183083796413036
